;tweetid;stance;sentiment;temporal_orientation
186;1512489868726743043;believe;positive;future
187;1514413648197787655;believe;positive;past
188;1470795005845331970;believe;negative;future
189;1473381477320691716;deny;neutral;future
190;1455619150865440770;believe;negative;present
191;1461492855533449218;deny;negative;past
192;1476590506989793283;believe;negative;future
193;1475718135521054721;believe;negative;past
194;1488698273347301376;deny;positive;past
195;1499415733813616641;believe;positive;past
196;1468011903297286144;believe;negative;future
197;1484912666124558338;deny;neutral;future
198;1474760244244856832;believe;negative;future
199;1432025873071235074;believe;neutral;present
200;1470147447846367239;believe;negative;future
201;1468913415443857414;believe;negative;future
202;1471860348428902407;believe;positive;future
203;1484227570874781697;deny;negative;future
204;1469374766377095172;believe;negative;future
205;1460962942137126922;believe;negative;future
206;1460821224406204417;believe;negative;future
207;1475512594089787392;deny;negative;present
208;1477836704547426304;deny;positive;future
209;1452371408076607491;believe;negative;future
210;1514681307888250885;believe;positive;present
211;1512086077619638276;believe;neutral;past
212;1477707498056749056;believe;negative;future
213;1501516657696587776;believe;neutral;future
214;1473644354652852225;deny;negative;present
215;1476161342860058638;believe;negative;future
216;1435082077666361347;believe;neutral;future
217;1468033288224841735;believe;neutral;present
218;1516265396130967554;believe;positive;future
219;1481669136497319939;believe;positive;future
220;1487170665878892547;deny;neutral;future
221;1498121929672122369;believe;neutral;future
222;1476589688135852032;deny;negative;past
223;1476348937602846733;believe;neutral;present
224;1503410132339736579;believe;positive;future
225;1454579142964490240;believe;positive;future
226;1481310328638083075;deny;neutral;past
227;1476901350780936194;believe;positive;future
228;1483408547992031237;believe;neutral;future
229;1507216120339607552;believe;neutral;future
230;1517184974784540675;believe;positive;future
231;1483097245876555776;believe;neutral;future
232;1517001968627380224;believe;positive;future
233;1455813740360732672;believe;negative;future
234;1491520403306688514;deny;negative;past
235;1461789990791299080;believe;negative;past
236;1479872990724591617;believe;positive;future
237;1475883775951196162;believe;negative;present
238;1473673273527390211;deny;negative;present
239;1477896185776156676;believe;neutral;present
240;1497327466955907079;deny;positive;present
241;1485638318222155783;deny;negative;present
242;1473995710320283660;deny;negative;future
243;1470338117529862148;believe;positive;future
244;1473707472976322571;believe;negative;future
245;1475709457564725248;believe;negative;future
246;1496726793805574144;deny;neutral;present
247;1493669818351984652;deny;negative;future
248;1501054526581014529;believe;positive;future
249;1493934456243200006;deny;negative;present
250;1477868294858235910;believe;neutral;present
251;1470576413514240007;deny;negative;past
252;1488843763778826241;deny;neutral;future
253;1473740227122507786;believe;negative;past
254;1477686332633796617;deny;positive;future
255;1461588726929260544;believe;positive;future
256;1498470966665498624;believe;positive;future
257;1497932126422847488;deny;negative;present
258;1494643926782906395;deny;negative;future
259;1514494207670767619;believe;positive;future
260;1424715953561014275;believe;negative;future
261;1481298632439701504;deny;negative;future
262;1452695135393812483;believe;neutral;future
263;1509942594238828554;believe;positive;present
264;1461347071038873628;believe;negative;past
265;1505998596117721091;believe;neutral;future
266;1430236923444924417;believe;neutral;present
267;1475811968997023745;believe;negative;future
268;1516478333365542915;believe;positive;present
269;1474001347422924802;believe;neutral;present
270;1461066753044140040;believe;negative;future
271;1472056550474743808;believe;neutral;past
272;1500770794925928451;believe;neutral;future
273;1483820948574908425;deny;negative;present
274;1460608056019111938;believe;neutral;past
275;1462095306154147843;deny;neutral;past
276;1478044341327249412;deny;negative;present
277;1461234632893120524;deny;neutral;future
278;1472610889308200961;believe;neutral;past
279;1461907891124719624;believe;negative;future
280;1514580959013744648;believe;positive;future
281;1478123504163700736;deny;positive;past
282;1476732863999524866;believe;negative;future
283;1490336024043696133;deny;neutral;present
284;1494149649107537922;deny;negative;future
285;1477358006345945089;believe;neutral;future
286;1477028329781960711;deny;negative;past
287;1467842896518791173;believe;positive;future
288;1503572886162145285;believe;neutral;future
289;1508667459502440451;believe;neutral;future
290;1501836399766478848;believe;neutral;future
291;1476762943215783966;believe;negative;future
292;1488559065521393665;deny;positive;future
293;1509904070890328064;believe;neutral;future
294;1461202714310758402;believe;neutral;future
295;1473669699389042696;believe;neutral;past
296;1472633850069241857;believe;positive;present
297;1479460662778773507;deny;negative;present
298;1462329785657528325;believe;negative;future
299;1476723828034129925;believe;negative;future
300;1452964484960632832;believe;neutral;past
301;1460961222510231557;believe;negative;future
302;1498941283024392195;believe;positive;past
303;1477422742614200325;believe;negative;past
304;1471134462255812614;believe;neutral;present
305;1450870654958407687;believe;positive;future
306;1479115859758964737;deny;neutral;future
307;1517855842321813504;believe;positive;present
308;1479942014980395008;believe;neutral;future
309;1460606754660794377;believe;negative;present
310;1504786275093688321;believe;neutral;future
311;1501257504411439104;believe;neutral;past
312;1476634953211428869;deny;negative;past
313;1512348324418011140;believe;positive;future
314;1469539597696655360;believe;negative;present
315;1517042249602904065;believe;positive;past
316;1475639598801846272;deny;positive;present
317;1517505009038295041;believe;positive;future
318;1454541314721296390;believe;negative;present
319;1461853341189910532;believe;neutral;future
320;1513643602248933380;believe;positive;future
321;1472686172812029952;believe;neutral;future
322;1467570844960387073;believe;negative;future
323;1496675269184303105;deny;negative;past
324;1517374426094116865;believe;positive;future
325;1517222968430104576;believe;neutral;past
326;1468360616427483136;believe;neutral;future
327;1460974275393998852;deny;negative;past
328;1479883856782270465;believe;negative;future
329;1499362503721205761;believe;neutral;future
330;1514969413027516420;believe;positive;future
331;1461231872340545538;believe;negative;future
332;1469708657424310274;believe;neutral;future
333;1487420813368119302;deny;negative;past
334;1498232758249869312;believe;neutral;future
335;1481226221895634944;believe;positive;future
336;1481331042673963010;deny;negative;future
337;1433831906051825688;believe;negative;future
338;1470664748517797888;believe;positive;future
339;1476289550506938370;believe;positive;future
340;1515766679153881095;believe;positive;present
341;1484161931766374401;believe;positive;future
342;1450175312545857542;believe;positive;present
343;1502797963457810436;believe;neutral;future
344;1473879723495202816;deny;negative;past
345;1482858594903236608;deny;negative;past
346;1516957513387679744;believe;positive;future
347;1470814610370576387;believe;negative;future
348;1514409620638691329;believe;positive;past
349;1517516871486287874;believe;positive;future
350;1515036383877865472;believe;positive;future
351;1509592483637964806;believe;neutral;past
352;1447479102852698114;deny;negative;future
353;1477928090865217536;believe;neutral;future
354;1473208090749198343;deny;neutral;past
355;1473657033324965888;deny;positive;past
356;1483965044689969155;believe;neutral;future
357;1514599119095930881;believe;neutral;past
358;1514555965697589251;believe;positive;future
359;1514554253570080770;believe;positive;future
360;1499001983746949120;believe;neutral;future
361;1517160009947308033;believe;positive;future
362;1494362310860627988;deny;negative;future
363;1462138644823613440;believe;positive;future
364;1453141372173799424;deny;negative;present
365;1497756244563890177;deny;negative;past
366;1491573672758317057;deny;negative;future
367;1472806337171972098;believe;negative;present
368;1467707489198166018;believe;neutral;present
369;1461431572121456640;believe;neutral;present
370;1461127559639277574;believe;negative;future
371;1491136112152424448;deny;neutral;future
372;1475886824077754370;believe;negative;future
373;1469895696031444994;deny;negative;past
374;1516381912495194118;believe;positive;future
375;1514420316965339138;believe;positive;future
376;1508626647985049606;believe;neutral;future
377;1474155999632187393;deny;negative;present
378;1458541832086831104;deny;negative;future
379;1482226782359425027;believe;neutral;future
380;1468025006844227586;believe;negative;future
381;1493704403580518401;deny;negative;present
382;1480870990238339078;believe;neutral;future
383;1515534274857906178;believe;positive;future
384;1471630814626598912;believe;neutral;present
385;1516201602117382148;believe;positive;present
386;1425004519386062854;believe;negative;future
387;1455778220813418499;believe;positive;future
388;1460926699663605764;believe;negative;present
389;1515001932884152329;believe;positive;present
390;1470452059732328454;deny;negative;present
391;1480167626735194112;deny;positive;past
392;1495045827965902848;deny;neutral;present
393;1436858090930905091;believe;neutral;future
394;1517451968217853952;believe;positive;past
395;1471586318983606275;believe;neutral;future
396;1501873891857559552;believe;neutral;future
397;1471759030506954753;believe;negative;past
398;1485248599697076229;believe;positive;past
399;1482863261322444800;believe;positive;present
400;1425090227694096396;believe;negative;future
401;1503018813255651328;believe;positive;present
402;1504428732580257792;believe;neutral;future
403;1508355682956939267;believe;neutral;future
404;1477100779701870593;believe;neutral;future
405;1477262539494858753;deny;negative;future
406;1477382573311492099;believe;neutral;future
407;1460426289110650884;deny;neutral;past
408;1484548499454799879;deny;negative;future
409;1514590042110722052;believe;positive;future
410;1514585417282064384;believe;positive;future
411;1514521814239625216;believe;positive;future
412;1431943594974269440;believe;positive;present
413;1462011647556521985;deny;positive;past
414;1483543902397374464;believe;positive;present
415;1470390271942828038;believe;neutral;future
416;1469811127542505477;believe;negative;future
417;1469123129859530764;deny;negative;future
418;1471303301954248711;deny;positive;future
419;1505324525688344578;believe;positive;future
420;1517361622368497665;believe;positive;present
421;1501603613596135430;believe;neutral;future
422;1461034227445600257;believe;negative;future
423;1470881031678881793;believe;negative;future
424;1507909209807011846;believe;neutral;future
425;1497664569761804290;believe;neutral;present
426;1478536256896348167;deny;negative;present
427;1470381611103436800;believe;positive;future
428;1514592568218353667;believe;positive;future
429;1473787359648907265;deny;negative;future
430;1452890486981763076;believe;negative;future
431;1485317949707591680;deny;positive;past
432;1500221635256729601;believe;positive;future
433;1480639524422172674;believe;positive;future
434;1487172211068837890;deny;neutral;present
435;1476786903735099393;believe;neutral;future
436;1453318569920499713;believe;neutral;future
437;1481179996844613635;deny;negative;present
438;1480736293533282306;deny;negative;future
439;1475544346610966536;deny;negative;future
440;1515444162509737984;believe;positive;future
441;1480324191060643843;deny;neutral;past
442;1462144202171731971;deny;neutral;past
443;1501160291312222209;believe;neutral;future
444;1460569232907935746;believe;positive;future
445;1480845734652133378;deny;negative;future
446;1477870828003889154;believe;negative;past
447;1479449421007884288;deny;positive;present
448;1514811657855242241;believe;positive;future
449;1482900179636273155;deny;negative;future
450;1449931725644066819;believe;positive;present
451;1506527554932383744;believe;neutral;future
452;1492259986075914240;deny;negative;past
453;1477045810156257284;believe;negative;past
454;1475451979841343490;deny;negative;past
455;1480505157477675012;believe;neutral;future
456;1468722308500054016;believe;negative;future
457;1480503970334392322;deny;negative;future
458;1427322879180349460;believe;neutral;future
459;1477720723191783426;believe;negative;future
460;1499706907661312005;believe;neutral;future
461;1514652106891874307;believe;positive;past
462;1502063036328198148;believe;neutral;future
463;1496909844997152774;deny;positive;past
464;1477006646719102976;believe;neutral;future
465;1473864823809138689;deny;positive;future
466;1485834473438859264;deny;negative;future
467;1472745834743681029;believe;negative;past
468;1482021234745376771;deny;positive;present
469;1473680734326042629;believe;neutral;present
470;1489461408974745601;deny;negative;future
471;1475836870902919175;believe;negative;present
472;1459979597676617735;deny;positive;future
473;1482617169401765891;deny;positive;past
474;1514910135453650961;believe;positive;future
475;1461461097249222667;believe;negative;future
476;1480228938169344005;believe;neutral;future
477;1484639214889476096;deny;negative;future
478;1495008879683547139;deny;neutral;future
479;1475063662406778890;believe;neutral;future
480;1517335555796881410;believe;positive;present
481;1478362847256227850;believe;negative;future
482;1470161208540082176;deny;negative;future
483;1483204087768363009;deny;negative;present
484;1470874236851920903;believe;negative;past
485;1510467932848988163;believe;neutral;future
486;1494276242777907200;deny;negative;future
487;1489018447015071744;deny;positive;future
488;1469322514543398913;believe;negative;future
489;1461137297274023937;deny;negative;past
490;1460978059180482564;believe;neutral;future
491;1513326418817474561;believe;positive;present
492;1473013887494770689;deny;positive;future
493;1475215214895194118;believe;neutral;future
494;1481792230373441539;believe;neutral;present
495;1499339058635591681;believe;neutral;future
496;1516472543368007680;believe;positive;future
497;1511419686981754880;believe;positive;future
498;1517518671845150723;believe;positive;future
499;1513089446643585025;believe;neutral;past
500;1492423192329207808;deny;negative;past
501;1470437665115758593;deny;neutral;future
502;1461013149839241231;believe;neutral;future
503;1473740755957133318;believe;negative;future
504;1502797283825356801;believe;neutral;past
505;1468190595076165632;deny;positive;future
506;1485168019186012162;believe;neutral;future
507;1517538770005938177;believe;positive;future
508;1503957653034131458;believe;positive;future
509;1428700930111774728;believe;negative;future
510;1514686264003506178;believe;positive;present
511;1473758236679577617;believe;negative;present
512;1511123999564378113;believe;positive;past
513;1508956578950569991;believe;positive;present
514;1494751907096805379;deny;negative;future
515;1501273121986334722;believe;neutral;future
516;1486934920710742017;deny;negative;future
517;1470377005417959435;believe;negative;future
518;1467684127847723012;deny;positive;past
519;1511089763679305729;believe;positive;future
520;1507942529957720066;believe;neutral;future
521;1476739584952188930;believe;negative;past
522;1454714712520724483;believe;neutral;future
523;1480208497325318155;deny;positive;past
524;1485068135304736771;deny;positive;future
525;1477145496032620548;believe;negative;future
526;1484133032185450496;deny;negative;past
527;1498930817871269888;believe;neutral;past
528;1474294504043827201;believe;negative;past
529;1462030322468458497;believe;positive;future
530;1513910415457193992;believe;positive;future
531;1480437033969631236;believe;neutral;past
532;1425293695738331138;believe;positive;future
533;1460643138112995337;believe;neutral;future
534;1461944763968540672;believe;negative;future
535;1470743354950533123;believe;negative;future
536;1491628829114347528;deny;negative;future
537;1481656229260775432;deny;negative;past
538;1499678338914439168;believe;positive;present
539;1511071268128313344;believe;positive;past
540;1512579197985693699;believe;positive;future
541;1517683183633920000;believe;positive;future
542;1476408061992452096;believe;negative;future
543;1428175643246792705;believe;negative;present
544;1512450713904844801;believe;positive;future
545;1491627372969402369;deny;negative;past
546;1514574296621805579;believe;positive;future
547;1479565894309359616;believe;negative;future
548;1485687742130704385;deny;negative;present
549;1477922266491019264;deny;negative;future
550;1476870037512146946;believe;negative;past
551;1473903219457802248;believe;positive;future
552;1512095298188939269;believe;positive;present
553;1485250223064727554;believe;positive;present
554;1514621201611902980;believe;positive;future
555;1458181132483137537;believe;positive;past
556;1473697087279616000;believe;neutral;past
557;1470254825476702209;believe;negative;present
558;1475875903892692999;believe;neutral;future
559;1481299732085493769;believe;neutral;present
560;1494675518410661892;deny;negative;future
561;1450668052119359491;believe;positive;future
562;1513871580190973958;believe;positive;future
563;1450408685025603584;believe;neutral;future
564;1514565457033924608;believe;positive;future
565;1501569672415625218;believe;neutral;future
566;1488176428386590726;deny;positive;future
567;1496688248113885189;deny;negative;present
568;1503504118270226432;believe;positive;present
569;1475933466407616515;believe;neutral;future
570;1470055051267772416;deny;positive;past
571;1478153738531524611;believe;negative;future
572;1514551110341922821;believe;positive;future
573;1460743812733493250;believe;negative;future
574;1470575611605356546;believe;negative;present
575;1511813008711987202;believe;positive;future
576;1484211976347729920;believe;neutral;present
577;1481537768845201416;deny;negative;future
578;1514590478028660744;believe;positive;future
579;1467592352273469441;believe;neutral;present
580;1511389174754066433;believe;positive;future
581;1456863254219657220;believe;negative;future
582;1461756037636231168;deny;negative;past
583;1476249873699651584;deny;negative;past
584;1456905929589501954;believe;positive;present
585;1481474636227428352;deny;negative;past
586;1500123124930650112;believe;positive;future
587;1424731827386863621;believe;neutral;present
588;1482123095200735242;believe;neutral;future
589;1514588306750980105;believe;positive;future
590;1514834417595736067;believe;positive;future
591;1440612418720124934;deny;negative;future
592;1501575290585337865;believe;neutral;future
593;1470131869685624839;believe;negative;past
594;1514517130733096963;believe;positive;future
595;1468360913971388417;deny;negative;future
596;1475651091219902467;deny;positive;future
597;1487519001651687426;deny;negative;present
598;1469118399967989761;believe;neutral;future
599;1469767110427648002;believe;neutral;present
600;1500955393421365256;believe;neutral;future
601;1514409915225616384;believe;neutral;past
602;1459798975071113217;deny;negative;present
603;1461048569910157323;believe;neutral;present
604;1456906499855294465;believe;positive;future
605;1482850537221414916;deny;negative;future
606;1475924242965401600;believe;negative;future
607;1501217572796178435;believe;neutral;future
608;1515804699852619777;believe;positive;future
609;1469898075548577797;deny;positive;past
610;1470205627083407367;believe;positive;future
611;1514401574143299590;believe;positive;future
612;1486679307057614848;deny;negative;future
613;1482666772998529025;believe;neutral;future
614;1485650463626256385;deny;negative;present
615;1507743046925840384;believe;neutral;future
616;1472782602016808968;deny;positive;future
617;1479452816301342722;believe;negative;future
618;1515072097051156484;believe;positive;past
619;1469693835127439361;believe;negative;present
620;1453988781518954496;believe;neutral;past
621;1461346307025428484;believe;negative;present
622;1480224062022500352;believe;neutral;future
623;1462023013646286848;believe;negative;present
624;1476349844033781760;believe;negative;future
625;1509573498880069635;believe;neutral;past
626;1516310735970013184;believe;positive;future
627;1514584522397929472;believe;positive;past
628;1469126237268307968;believe;negative;present
629;1435176010572607488;believe;negative;future
630;1475963335937966084;deny;negative;past
631;1514574076336959488;believe;positive;future
632;1471224374824947721;deny;negative;present
633;1461134104708014103;believe;negative;present
634;1477636947581587458;deny;negative;future
635;1480510858732179461;deny;negative;future
636;1420779043918594055;believe;negative;present
637;1460655773093023744;believe;negative;future
638;1454394644448612357;believe;positive;future
639;1517341126960697344;believe;neutral;past
640;1461636204693266446;believe;negative;future
641;1471854187172569090;believe;negative;future
642;1473855736799444994;believe;neutral;future
643;1452811962744590339;believe;neutral;present
644;1469758434576850951;believe;negative;future
645;1470503913816309770;believe;negative;future
646;1506886657479528454;believe;neutral;future
647;1480110890687025152;believe;negative;future
648;1514557181173317632;believe;positive;future
649;1456713118009085955;believe;negative;future
650;1517606688609771522;believe;positive;present
651;1515565843794571268;believe;positive;future
652;1511003978305310721;believe;neutral;future
653;1514590549034283017;believe;positive;future
654;1476052382672842755;deny;positive;present
655;1467904579656306689;believe;negative;present
656;1471475855524352000;believe;negative;future
657;1467797268744916994;believe;negative;present
658;1477537226481455107;believe;neutral;future
659;1514448803880849411;believe;positive;present
660;1517499636554297344;believe;positive;future
661;1498356497591545859;believe;neutral;present
662;1514641271851126786;believe;positive;future
663;1514595889679339529;believe;positive;future
664;1484750318256766978;deny;positive;present
665;1477603943438036995;believe;negative;future
666;1443936280241324037;believe;positive;future
667;1483619678820134913;believe;positive;future
668;1476838468512747522;believe;positive;future
669;1475517912114937862;deny;positive;future
670;1516714532814475265;believe;positive;future
671;1461940565923315715;believe;neutral;present
672;1461244491952803840;believe;positive;past
673;1428016873833213954;believe;positive;future
674;1493326583331008519;deny;negative;future
675;1515722974736924680;believe;positive;future
676;1483292018625290241;deny;negative;present
677;1501128530448601092;believe;neutral;future
678;1460585816279994380;believe;negative;future
679;1441370947236216832;deny;neutral;past
680;1444330403049869312;believe;positive;past
681;1457517052495814661;believe;negative;future
682;1450965922781401089;deny;neutral;future
683;1470999593529839616;believe;negative;present
684;1516407044638654489;believe;positive;future
685;1469682545168158722;believe;neutral;future
686;1475162646026596353;believe;negative;future
687;1471473027741270025;believe;negative;future
688;1468407813948907523;believe;negative;future
689;1472555591981842432;believe;negative;past
690;1477717579485569032;believe;positive;present
691;1473192258543435780;believe;neutral;present
692;1468777794410844164;deny;negative;present
693;1488514373693943814;deny;neutral;future
694;1481362608188014593;deny;negative;future
695;1456659220481253377;believe;negative;future
696;1484286515622592516;believe;neutral;present
697;1459764953125203974;deny;negative;present
698;1480170753454747653;believe;negative;future
699;1469768212632023052;believe;neutral;future
700;1468198573649149953;believe;negative;past
701;1475506926083469317;believe;neutral;future
702;1480820029780213761;believe;neutral;past
703;1509551361385402374;believe;positive;future
704;1514417179646521346;believe;positive;future
705;1490851447462043648;deny;negative;future
706;1460094922103558148;deny;positive;present
707;1452777968778956806;believe;negative;future
708;1479999044504244228;deny;negative;future
709;1462015447491043328;believe;neutral;present
710;1474446305367937026;believe;negative;future
711;1470393958773760004;believe;negative;future
712;1424377726505525249;believe;negative;future
713;1471688016364118017;believe;negative;past
714;1460372903032020995;deny;positive;past
715;1485351482669084673;believe;neutral;future
716;1460304944288964610;deny;neutral;present
717;1480706160298807301;believe;neutral;future
718;1499440976724729863;believe;neutral;future
719;1514613424122396672;believe;positive;future
720;1486806484608454657;deny;negative;future
721;1476281448848142337;believe;negative;past
722;1455185918281895937;believe;neutral;present
723;1468714567249186819;deny;neutral;present
724;1514410555297054721;believe;positive;past
725;1473936625713528837;believe;negative;present
726;1489334980677443592;deny;negative;past
727;1476163580521115652;deny;positive;future
728;1432495388200558594;deny;positive;future
729;1470691515987111941;believe;neutral;future
730;1514473037139046401;believe;neutral;past
731;1495351701980827649;deny;neutral;past
732;1474737336789483528;deny;negative;present
733;1471805554213457920;believe;negative;present
734;1493210068271120388;deny;neutral;present
735;1517188316793389056;believe;positive;future
736;1443561877498474503;believe;neutral;future
737;1479210185491058688;deny;negative;past
738;1481264060691795970;deny;neutral;past
739;1477370249582235648;believe;neutral;future
740;1497830598366629890;believe;neutral;future
741;1479570157173420036;believe;negative;future
742;1477658095308451846;believe;negative;past
743;1514591279447162887;believe;positive;future
744;1454119249555779588;believe;negative;future
745;1471221042861559812;believe;neutral;future
746;1461030609636102144;believe;positive;future
747;1428756626962468870;believe;neutral;future
748;1472731413434671105;deny;negative;future
749;1471386598373744640;believe;neutral;future
750;1511308974129401861;believe;positive;present
751;1424296083740663809;believe;negative;future
752;1475124369768730625;believe;neutral;future
753;1516897736984973312;believe;positive;present
754;1496904538137133057;deny;negative;past
755;1485220363743395843;deny;negative;past
756;1517564096782217216;believe;positive;present
757;1479904402634772480;believe;negative;future
758;1504162312940183552;believe;positive;past
759;1481599144594661376;deny;negative;present
760;1459056114222305291;believe;negative;future
761;1460654410892288008;deny;positive;present
762;1501194006260326402;believe;positive;future
